method,seed,evaluation_count,sweep,slot_count,unique_slot_phenotypes,largest_phenotype_slot_fraction,normalized_slot_entropy,adjacent_same_phenotype_fraction
moead,1,940,46,20,8,0.25,0.6156891065798796,0.631578947368421
moead,1,960,47,20,8,0.25,0.6156891065798796,0.631578947368421
moead,1,980,48,20,7,0.3,0.5705687986494469,0.6842105263157895
moead,1,1000,49,20,5,0.45,0.44308460910809977,0.7894736842105263
moead,1,1020,50,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,1040,51,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1060,52,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1080,53,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,1100,54,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1120,55,20,6,0.4,0.44469228841657804,0.7368421052631579
moead,1,1140,56,20,4,0.45,0.3398935755842477,0.8421052631578947
moead,1,1160,57,20,4,0.45,0.3398935755842477,0.8421052631578947
moead,1,1180,58,20,4,0.45,0.3398935755842477,0.8421052631578947
moead,1,1200,59,20,4,0.45,0.3398935755842477,0.8421052631578947
moead,1,1220,60,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,1240,61,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1260,62,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1280,63,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1300,64,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1320,65,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1340,66,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1360,67,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1380,68,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1400,69,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1420,70,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1440,71,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1460,72,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1480,73,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1500,74,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1520,75,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1540,76,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1560,77,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1580,78,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1600,79,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1620,80,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1640,81,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1660,82,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,1680,83,20,5,0.4,0.43999100755714615,0.7894736842105263
moead,1,1700,84,20,6,0.4,0.4718620549424829,0.6842105263157895
moead,1,1720,85,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,1740,86,20,8,0.4,0.5429149428577359,0.631578947368421
moead,1,1760,87,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1780,88,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1800,89,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1820,90,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1840,91,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1860,92,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1880,93,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1900,94,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,1920,95,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,1940,96,20,8,0.4,0.5429149428577359,0.631578947368421
moead,1,1960,97,20,8,0.4,0.5429149428577359,0.631578947368421
moead,1,1980,98,20,8,0.4,0.5429149428577359,0.631578947368421
moead,1,2000,99,20,8,0.4,0.5429149428577359,0.631578947368421
moead,1,2020,100,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,2040,101,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,2060,102,20,7,0.4,0.49499987625845876,0.6842105263157895
moead,1,2080,103,20,7,0.4,0.49499987625845876,0.6842105263157895
moead,1,2100,104,20,7,0.4,0.49499987625845876,0.6842105263157895
moead,1,2120,105,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2140,106,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2160,107,20,7,0.35,0.5221696427843637,0.6842105263157895
moead,1,2180,108,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2200,109,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2220,110,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2240,111,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2260,112,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2280,113,20,6,0.4,0.47186205494248284,0.7368421052631579
moead,1,2300,114,20,8,0.35,0.5920671959980977,0.631578947368421
moead,1,2320,115,20,8,0.35,0.5920671959980977,0.631578947368421
moead,1,2340,116,20,8,0.35,0.5920671959980977,0.631578947368421
moead,1,2360,117,20,7,0.35,0.5601961486127608,0.6842105263157895
moead,1,2380,118,20,7,0.35,0.5601961486127608,0.6842105263157895
moead,1,2400,119,20,8,0.35,0.5920671959980975,0.631578947368421
moead,1,2420,120,20,8,0.35,0.5833339699287367,0.631578947368421
moead,1,2440,121,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,2460,122,20,6,0.35,0.4902985953990269,0.7368421052631579
moead,1,2480,123,20,6,0.35,0.4902985953990269,0.7368421052631579
moead,1,2500,124,20,4,0.45,0.38759165114098093,0.8421052631578947
moead,1,2520,125,20,4,0.45,0.3691551106844369,0.8421052631578947
moead,1,2540,126,20,5,0.4,0.4215544671006021,0.7894736842105263
moead,1,2560,127,20,5,0.4,0.4215544671006021,0.7894736842105263
moead,1,2580,128,20,6,0.4,0.5141057523645058,0.7368421052631579
moead,1,2600,129,20,6,0.4,0.5141057523645058,0.7368421052631579
moead,1,2620,130,20,6,0.4,0.5141057523645058,0.7368421052631579
moead,1,2640,131,20,6,0.4,0.5141057523645058,0.7368421052631579
moead,1,2660,132,20,6,0.4,0.5141057523645058,0.7368421052631579
moead,1,2680,133,20,6,0.4,0.5141057523645058,0.7368421052631579
moead,1,2700,134,20,6,0.4,0.5141057523645058,0.7368421052631579
moead,1,2720,135,20,6,0.35,0.4990318214683878,0.7368421052631579
moead,1,2740,136,20,5,0.4,0.44872423362650693,0.7894736842105263
moead,1,2760,137,20,7,0.4,0.49499987625845876,0.6842105263157895
moead,1,2780,138,20,8,0.4,0.5648974294721928,0.631578947368421
moead,1,2800,139,20,8,0.4,0.5648974294721928,0.631578947368421
moead,1,2820,140,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,2840,141,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,2860,142,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,2880,143,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,2900,144,20,6,0.4,0.4879060741564232,0.7368421052631579
moead,1,2920,145,20,6,0.4,0.4879060741564232,0.7368421052631579
moead,1,2940,146,20,7,0.35,0.5601961486127608,0.6842105263157895
moead,1,2960,147,20,8,0.35,0.6019557567689776,0.631578947368421
moead,1,2980,148,20,8,0.35,0.6019557567689776,0.631578947368421
moead,1,3000,149,20,8,0.35,0.6019557567689776,0.631578947368421
moead,1,3020,150,20,8,0.35,0.6019557567689776,0.631578947368421
moead,1,3040,151,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3060,152,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3080,153,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3100,154,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3120,155,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3140,156,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3160,157,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3180,158,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3200,159,20,7,0.3,0.5629909072816051,0.6842105263157895
moead,1,3220,160,20,8,0.3,0.586128728597581,0.631578947368421
moead,1,3240,161,20,8,0.3,0.586128728597581,0.631578947368421
moead,1,3260,162,20,9,0.3,0.6312490365280138,0.5789473684210527
moead,1,3280,163,20,7,0.3,0.5629909072816051,0.6842105263157895
moead,1,3300,164,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3320,165,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,3340,166,20,9,0.35,0.6338268041543144,0.5789473684210527
moead,1,3360,167,20,9,0.3,0.6179997759829179,0.5789473684210527
moead,1,3380,168,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,3400,169,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3420,170,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3440,171,20,8,0.3,0.6179997759829179,0.631578947368421
moead,1,3460,172,20,8,0.3,0.6179997759829179,0.631578947368421
moead,1,3480,173,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3500,174,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3520,175,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3540,176,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3560,177,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3580,178,20,8,0.3,0.6179997759829179,0.631578947368421
moead,1,3600,179,20,8,0.3,0.6179997759829179,0.631578947368421
moead,1,3620,180,20,8,0.3,0.6179997759829179,0.631578947368421
moead,1,3640,181,20,8,0.3,0.6179997759829179,0.631578947368421
moead,1,3660,182,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3680,183,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3700,184,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,3720,185,20,7,0.35,0.5469468880676648,0.6842105263157895
moead,1,3740,186,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,3760,187,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,3780,188,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3800,189,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3820,190,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3840,191,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3860,192,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3880,193,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3900,194,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3920,195,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3940,196,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3960,197,20,7,0.4,0.5197771215417598,0.6842105263157895
moead,1,3980,198,20,6,0.5,0.43625790522932645,0.7368421052631579
moead,1,4000,199,20,7,0.5,0.5,0.6842105263157895
moead,1,4020,200,20,7,0.5,0.5,0.6842105263157895
moead,1,4040,201,20,7,0.5,0.5,0.6842105263157895
moead,1,4060,202,20,7,0.5,0.5,0.6842105263157895
moead,1,4080,203,20,7,0.5,0.5,0.6842105263157895
moead,1,4100,204,20,7,0.5,0.5,0.6842105263157895
moead,1,4120,205,20,8,0.4,0.5835192163124335,0.631578947368421
moead,1,4140,206,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4160,207,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4180,208,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4200,209,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4220,210,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4240,211,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4260,212,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4280,213,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4300,214,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4320,215,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4340,216,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4360,217,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4380,218,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4400,219,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4420,220,20,5,0.4,0.4215544671006021,0.7894736842105263
moead,1,4440,221,20,5,0.4,0.4215544671006021,0.7894736842105263
moead,1,4460,222,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4480,223,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,4500,224,20,6,0.35,0.5006712454357131,0.7368421052631579
moead,1,4520,225,20,6,0.35,0.5226537320501699,0.7368421052631579
moead,1,4540,226,20,6,0.4,0.4954839655242649,0.7368421052631579
moead,1,4560,227,20,6,0.4,0.4954839655242649,0.7368421052631579
moead,1,4580,228,20,6,0.4,0.4954839655242649,0.7368421052631579
moead,1,4600,229,20,4,0.5,0.33803525078816854,0.8421052631578947
moead,1,4620,230,20,4,0.5,0.33803525078816854,0.8421052631578947
moead,1,4640,231,20,4,0.5,0.33803525078816854,0.8421052631578947
moead,1,4660,232,20,4,0.5,0.33803525078816854,0.8421052631578947
moead,1,4680,233,20,4,0.5,0.33803525078816854,0.8421052631578947
moead,1,4700,234,20,4,0.5,0.33803525078816854,0.8421052631578947
moead,1,4720,235,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,4740,236,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,4760,237,20,6,0.45,0.44260051984229365,0.7368421052631579
moead,1,4780,238,20,6,0.45,0.44260051984229365,0.7368421052631579
moead,1,4800,239,20,6,0.45,0.44260051984229365,0.7368421052631579
moead,1,4820,240,20,4,0.55,0.33241332349240066,0.8421052631578947
moead,1,4840,241,20,4,0.55,0.33241332349240066,0.8421052631578947
moead,1,4860,242,20,4,0.55,0.33241332349240066,0.8421052631578947
moead,1,4880,243,20,4,0.5,0.38124903652801373,0.7894736842105263
moead,1,4900,244,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,4920,245,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,4940,246,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,4960,247,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,4980,248,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5000,249,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5020,250,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5040,251,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5060,252,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5080,253,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5100,254,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5120,255,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5140,256,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5160,257,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5180,258,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5200,259,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5220,260,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5240,261,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5260,262,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5280,263,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5300,264,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5320,265,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5340,266,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5360,267,20,5,0.5,0.41312008391335053,0.7894736842105263
moead,1,5380,268,20,4,0.5,0.3652050173140735,0.8421052631578947
moead,1,5400,269,20,4,0.5,0.3652050173140735,0.8421052631578947
moead,1,5420,270,20,4,0.5,0.3652050173140735,0.8421052631578947
moead,1,5440,271,20,4,0.5,0.3652050173140735,0.8421052631578947
moead,1,5460,272,20,4,0.5,0.3652050173140735,0.8421052631578947
moead,1,5480,273,20,5,0.45,0.43550671774025795,0.7894736842105263
moead,1,5500,274,20,5,0.45,0.43550671774025795,0.7894736842105263
moead,1,5520,275,20,5,0.45,0.43550671774025795,0.7894736842105263
moead,1,5540,276,20,5,0.45,0.43550671774025795,0.7894736842105263
moead,1,5560,277,20,5,0.45,0.43550671774025795,0.7894736842105263
moead,1,5580,278,20,5,0.45,0.43550671774025795,0.7894736842105263
moead,1,5600,279,20,6,0.45,0.4673777651255948,0.7368421052631579
moead,1,5620,280,20,7,0.35,0.5469468880676649,0.631578947368421
moead,1,5640,281,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,5660,282,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,5680,283,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,5700,284,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,5720,285,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5740,286,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5760,287,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5780,288,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5800,289,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5820,290,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5840,291,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5860,292,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5880,293,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5900,294,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5920,295,20,8,0.35,0.5453074641003396,0.631578947368421
moead,1,5940,296,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,5960,297,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,5980,298,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6000,299,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6020,300,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,6040,301,20,7,0.35,0.538213661998304,0.6842105263157895
moead,1,6060,302,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6080,303,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6100,304,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6120,305,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6140,306,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6160,307,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6180,308,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6200,309,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6220,310,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6240,311,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6260,312,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6280,313,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6300,314,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6320,315,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6340,316,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6360,317,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6380,318,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6400,319,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6420,320,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6440,321,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6460,322,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6480,323,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6500,324,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6520,325,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6540,326,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6560,327,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6580,328,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6600,329,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6620,330,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6640,331,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6660,332,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6680,333,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6700,334,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6720,335,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6740,336,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6760,337,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6780,338,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6800,339,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6820,340,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6840,341,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6860,342,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6880,343,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6900,344,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6920,345,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6940,346,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6960,347,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,6980,348,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,7000,349,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,7020,350,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,7040,351,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,7060,352,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,7080,353,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,7100,354,20,8,0.35,0.5700847093836409,0.631578947368421
moead,1,7120,355,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7140,356,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7160,357,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7180,358,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7200,359,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7220,360,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7240,361,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7260,362,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7280,363,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7300,364,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7320,365,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7340,366,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7360,367,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7380,368,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7400,369,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7420,370,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7440,371,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7460,372,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7480,373,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7500,374,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7520,375,20,7,0.4,0.5197771215417599,0.6842105263157895
moead,1,7540,376,20,6,0.4,0.444692288416578,0.7368421052631579
moead,1,7560,377,20,7,0.4,0.4949998762584588,0.6842105263157895
moead,1,7580,378,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7600,379,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7620,380,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7640,381,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7660,382,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7680,383,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7700,384,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7720,385,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7740,386,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7760,387,20,5,0.45,0.3922929320004128,0.7894736842105263
moead,1,7780,388,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,7800,389,20,6,0.4,0.4718620549424829,0.7368421052631579
moead,1,7820,390,20,6,0.4,0.4718620549424829,0.7368421052631579
