method,seed,evaluation_count,generation_or_sweep,algorithm,valid_population,unique_genotypes,unique_phenotypes,max_single_phenotype_fraction,evaluated_unique_genotypes_cumulative,nondominated_population,min_hpwl,min_congestion_top10,max_hpwl,max_congestion_top10,archive_size,decode_failures_cumulative,duplicate_rejections,replacement_count,elapsed_seconds,valid_evaluations_per_second
moead,1,1680,83,moead,20,5,5,0.4,1680,20,600581.9999999962,0.008151428773999214,697916.660714283,0.009340699762105942,16,1,0,11,2642.1214116639458,0.6354742036410074
moead,1,1700,84,moead,20,6,6,0.4,1700,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,17,1,0,1,2673.025879494846,0.6356092595411312
moead,1,1720,85,moead,20,7,7,0.4,1720,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,14,1,0,1,2704.5528058458585,0.6355949110272139
moead,1,1740,86,moead,20,8,8,0.4,1740,19,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,12,1,0,7,2735.3539281957783,0.6357495394195782
moead,1,1760,87,moead,20,6,6,0.4,1760,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,11,1,0,9,2766.1777550459374,0.6358955048320055
moead,1,1780,88,moead,20,6,6,0.4,1780,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,11,1,0,0,2797.4277790649794,0.6359413505912271
moead,1,1800,89,moead,20,6,6,0.4,1800,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,12,1,0,0,2827.803618425969,0.6361827915763724
moead,1,1820,90,moead,20,6,6,0.4,1820,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,12,1,0,0,2859.4565398967825,0.6361348650067821
moead,1,1840,91,moead,20,6,6,0.4,1840,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,12,1,0,1,2889.4857914189342,0.6364454206562912
moead,1,1860,92,moead,20,6,6,0.4,1860,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,12,1,0,1,2919.6329235278536,0.636723878888765
moead,1,1880,93,moead,20,6,6,0.4,1880,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,12,1,0,0,2949.9202353239525,0.6369663753954531
moead,1,1900,94,moead,20,6,6,0.4,1900,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,12,1,0,0,2980.8839952088892,0.6370593431519717
moead,1,1920,95,moead,20,7,7,0.4,1920,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,13,1,0,6,3011.92632823484,0.637133777812103
moead,1,1940,96,moead,20,8,8,0.4,1940,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,14,1,0,1,3042.480703276815,0.6373088900487214
moead,1,1960,97,moead,20,8,8,0.4,1960,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,14,1,0,1,3073.1844988688827,0.637449525311946
moead,1,1980,98,moead,20,8,8,0.4,1980,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,15,1,0,0,3103.712588180788,0.6376234731064362
moead,1,2000,99,moead,20,8,8,0.4,2000,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,15,1,0,0,3134.8215231639333,0.6376758565771349
moead,1,2020,100,moead,20,7,7,0.4,2020,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,14,1,0,7,3165.874445754802,0.637738493611876
moead,1,2040,101,moead,20,6,6,0.4,2040,20,600390.2321428536,0.008151428773999214,697916.660714283,0.009433104656636715,11,1,0,8,3196.9200797327794,0.637801367924854
moead,1,2060,102,moead,20,7,7,0.4,2060,20,600390.2321428536,0.008142193779349327,698998.1071428548,0.009433104656636715,13,1,0,8,3228.9712510828394,0.6376643952186046
moead,1,2080,103,moead,20,8,7,0.4,2080,20,600390.2321428536,0.008136801421642303,694181.8928571395,0.009433104656636715,9,1,0,11,3261.229079134995,0.6374897161629111
moead,1,2100,104,moead,20,8,7,0.4,2100,19,600390.2321428536,0.008136801421642303,694181.8928571395,0.009433104656636715,7,1,0,7,3291.951764273923,0.6376156609521155
moead,1,2120,105,moead,20,7,6,0.4,2120,20,599634.4821428533,0.008136801421642303,694181.8928571395,0.009348004125058651,7,1,0,3,3323.091113978997,0.6376593139701052
moead,1,2140,106,moead,20,7,6,0.4,2140,20,599634.4821428533,0.008136801421642303,694181.8928571395,0.009348004125058651,7,1,0,0,3352.8706456117798,0.6379607882575227
moead,1,2160,107,moead,20,7,7,0.35,2160,19,599634.4821428533,0.008136801421642303,697283.2499999969,0.009348004125058651,9,1,0,1,3383.450495093828,0.6381059817871305
moead,1,2180,108,moead,20,6,6,0.4,2180,20,599634.4821428533,0.008136801421642303,694181.8928571395,0.009348004125058651,9,1,0,8,3414.3836517569143,0.6381825307998906
moead,1,2200,109,moead,20,6,6,0.4,2200,20,599634.4821428533,0.008136801421642303,694181.8928571395,0.009348004125058651,9,1,0,0,3445.1117712089326,0.6382956914133278
moead,1,2220,110,moead,20,6,6,0.4,2220,20,599634.4821428533,0.008136801421642303,694181.8928571395,0.009348004125058651,9,1,0,0,3476.089912999887,0.6383609329843224
moead,1,2240,111,moead,20,6,6,0.4,2240,20,599634.4821428533,0.008136801421642303,694181.8928571395,0.009348004125058651,9,1,0,0,3507.554978214903,0.638336394983463
moead,1,2260,112,moead,20,6,6,0.4,2260,20,599634.4821428533,0.008106033317744732,692626.6071428538,0.009348004125058651,9,1,0,9,3538.229936454911,0.6384548320970286
moead,1,2280,113,moead,20,6,6,0.4,2280,20,599634.4821428533,0.008106033317744732,692626.6071428538,0.009348004125058651,9,1,0,0,3569.43787287781,0.6384758836445549
moead,1,2300,114,moead,20,8,8,0.35,2300,20,599634.4821428533,0.008106033317744732,692626.6071428538,0.009348004125058651,11,1,0,14,3600.16092291777,0.6385825659528471
moead,1,2320,115,moead,20,8,8,0.35,2320,20,599634.4821428533,0.008106033317744732,692626.6071428538,0.009348004125058651,11,1,0,0,3630.990920919925,0.6386686308244672
moead,1,2340,116,moead,20,8,8,0.35,2340,20,599634.4821428533,0.008106033317744732,692626.6071428538,0.009348004125058651,12,1,0,2,3661.948590043001,0.6387309768247004
moead,1,2360,117,moead,20,7,7,0.35,2360,20,599634.4821428533,0.008106033317744732,692626.6071428538,0.009348004125058651,12,1,0,3,3692.4626143588684,0.6388690276311976
moead,1,2380,118,moead,20,7,7,0.35,2380,20,599634.4821428533,0.008106033317744732,692626.6071428538,0.009348004125058651,13,1,0,0,3723.3425499498844,0.6389420173096942
moead,1,2400,119,moead,20,8,8,0.35,2400,20,599476.3928571392,0.008106033317744732,692626.6071428538,0.009374365210533142,14,1,0,4,3754.1908842499834,0.6390191852163306
moead,1,2420,120,moead,20,8,8,0.35,2420,19,598246.4999999964,0.008106033317744732,696035.0892857108,0.00927824154496193,13,1,0,12,3785.382516265847,0.6390371355089003
moead,1,2440,121,moead,20,8,7,0.35,2440,19,598246.4999999964,0.008106033317744732,692673.6428571396,0.00927824154496193,13,1,0,3,3817.724536811933,0.638862227089002
moead,1,2460,122,moead,20,6,6,0.35,2460,19,598246.4999999964,0.008106033317744732,692626.6071428538,0.00927824154496193,13,1,0,8,3850.312768805772,0.6386494156844025
moead,1,2480,123,moead,20,6,6,0.35,2480,20,598246.4999999964,0.008106033317744732,692626.6071428538,0.00927824154496193,14,1,0,1,3882.2037896919064,0.6385548349064732
moead,1,2500,124,moead,20,4,4,0.45,2500,20,597093.9999999965,0.008106033317744732,692626.6071428538,0.009221812710165977,10,1,0,20,3913.108759843977,0.6386226791456826
moead,1,2520,125,moead,20,4,4,0.45,2520,20,596104.9642857108,0.008106033317744732,692626.6071428538,0.00913108978420496,6,1,0,20,3944.097569788806,0.6386758835012503
moead,1,2540,126,moead,20,5,5,0.4,2540,20,596104.9642857108,0.0080821942538023,693422.464285711,0.00913108978420496,8,1,0,9,3974.7206414479297,0.6387870316025736
moead,1,2560,127,moead,20,5,5,0.4,2560,20,596104.9642857108,0.0080821942538023,693422.464285711,0.00913108978420496,9,1,0,8,4006.071535398951,0.6387804055389036
moead,1,2580,128,moead,20,6,6,0.4,2580,20,596104.9642857108,0.0080821942538023,693422.464285711,0.00913108978420496,9,1,0,16,4038.7549815399107,0.6385631244747285
moead,1,2600,129,moead,20,6,6,0.4,2600,20,596104.9642857108,0.0080821942538023,693422.464285711,0.00913108978420496,10,1,0,0,4069.767616444966,0.6386114011763367
moead,1,2620,130,moead,20,6,6,0.4,2620,20,596104.9642857108,0.0080821942538023,693422.464285711,0.00913108978420496,11,1,0,0,4101.081867980771,0.6386119771097142
moead,1,2640,131,moead,20,6,6,0.4,2640,12,596104.9642857108,0.0080821942538023,693422.464285711,0.00913108978420496,10,1,0,16,4133.048593966989,0.6385117280866595
moead,1,2660,132,moead,20,6,6,0.4,2660,12,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,10,1,0,1,4164.249832536792,0.6385303732797849
moead,1,2680,133,moead,20,6,6,0.4,2680,12,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,11,1,0,0,4195.30771654984,0.638570560493515
moead,1,2700,134,moead,20,6,6,0.4,2700,12,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,12,1,0,0,4226.186980481958,0.6386371479693035
moead,1,2720,135,moead,20,6,6,0.35,2720,13,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,12,1,0,20,4257.002561807865,0.638712324111286
moead,1,2740,136,moead,20,5,5,0.4,2740,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,12,1,0,8,4288.542773072841,0.6386784847286117
moead,1,2760,137,moead,20,7,7,0.4,2760,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,15,1,0,3,4319.957647068892,0.6386636688144367
moead,1,2780,138,moead,20,8,8,0.4,2780,19,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,18,1,0,8,4351.204817227786,0.6386736815966617
moead,1,2800,139,moead,20,8,8,0.4,2800,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,18,1,0,1,4382.857647477882,0.6386244375540433
moead,1,2820,140,moead,20,7,7,0.4,2820,14,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,16,1,0,7,4414.274736505002,0.6386100023833
moead,1,2840,141,moead,20,7,7,0.4,2840,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,18,1,0,1,4446.447587662842,0.6384872291932818
moead,1,2860,142,moead,20,7,7,0.4,2860,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,18,1,0,10,4477.578521844931,0.6385147655259844
moead,1,2880,143,moead,20,7,7,0.4,2880,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,17,1,0,2,4508.561878408771,0.6385628228343402
moead,1,2900,144,moead,20,6,6,0.4,2900,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,19,1,0,4,4539.958432726795,0.6385521019536735
moead,1,2920,145,moead,20,6,6,0.4,2920,20,596104.9642857108,0.008081160485744476,693041.1428571395,0.00913108978420496,15,1,0,8,4572.289784697816,0.6384109794985179
moead,1,2940,146,moead,20,7,7,0.35,2940,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,16,1,0,11,4603.8581521047745,0.6383776178369786
moead,1,2960,147,moead,20,8,8,0.35,2960,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,17,1,0,1,4636.319749298971,0.6382217275776573
moead,1,2980,148,moead,20,8,8,0.35,2980,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,17,1,0,7,4668.284734423971,0.638135882764997
moead,1,3000,149,moead,20,8,8,0.35,3000,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,17,1,0,0,4700.472351107979,0.6380209851235665
moead,1,3020,150,moead,20,8,8,0.35,3020,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,17,1,0,0,4733.635494841961,0.6377761877292145
moead,1,3040,151,moead,20,7,7,0.35,3040,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,19,1,0,6,4766.017057343852,0.6376393461112925
moead,1,3060,152,moead,20,7,7,0.35,3060,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,18,1,0,3,4797.971847233828,0.6375610565042401
moead,1,3080,153,moead,20,7,7,0.35,3080,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,20,1,0,0,4830.066293721786,0.637465370610367
moead,1,3100,154,moead,20,7,7,0.35,3100,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,20,1,0,0,4862.688790088985,0.637301734447063
moead,1,3120,155,moead,20,7,7,0.35,3120,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,22,1,0,0,4894.46781731979,0.6372500783359863
moead,1,3140,156,moead,20,7,7,0.35,3140,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,23,1,0,7,4927.743048048811,0.6370056168498718
moead,1,3160,157,moead,20,7,7,0.35,3160,20,596104.9642857108,0.008066242560744286,687818.1785714255,0.00913108978420496,23,1,0,0,4960.222899129847,0.6368665409278625
